DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
37.222	34.0391	51.20081921310741
37.322	34.0469	51.20081921310741
37.424	34.0938	51.20081921310741
37.525	34.1641	51.20081921310741
37.626	34.1563	51.20081921310741
37.728	34.1094	51.20081921310741
37.828	34.2422	51.20081921310741
37.93	34.2734	51.20081921310741
38.031	34.3125	51.20081921310741
38.132	34.2656	51.20081921310741
38.233	34.3359	51.20081921310741
38.334	34.3125	51.20081921310741
38.435	34.3125	51.20081921310741
38.537	34.3594	51.20081921310741
38.638	34.3594	51.20081921310741
38.738	34.4688	51.20081921310741
38.84	34.4766	51.20081921310741
38.941	34.4531	51.20081921310741
39.043	34.5156	51.20081921310741
39.144	34.4766	51.20081921310741
39.244	34.5156	51.20081921310741
39.346	34.4766	51.20081921310741
39.447	34.5391	51.20081921310741
39.548	34.5859	51.20081921310741
39.65	34.6484	51.20081921310741
39.75	34.7188	51.20081921310741
39.852	34.7813	51.20081921310741
39.953	34.7188	51.20081921310741
40.054	34.7422	51.20081921310741
40.156	34.7188	51.20081921310741
40.256	34.7813	51.20081921310741
40.357	34.7891	51.20081921310741
40.459	34.8047	51.20081921310741
40.56	34.8594	51.20081921310741
40.661	34.8594	51.20081921310741
40.762	34.8359	51.20081921310741
40.863	34.875	51.20081921310741
40.965	34.9063	51.20081921310741
41.066	34.9063	51.20081921310741
41.166	34.9922	51.20081921310741
41.268	34.9922	51.20081921310741
41.369	34.9922	51.20081921310741
41.471	35.0313	51.20081921310741
41.572	35.125	51.20081921310741
41.672	35.125	51.20081921310741
41.774	35.125	51.20081921310741
41.875	35.2344	51.20081921310741
41.976	35.1641	51.20081921310741
42.078	35.1719	51.20081921310741
42.178	35.2344	51.20081921310741
42.279	35.2578	51.20081921310741
42.381	35.2969	51.20081921310741
42.482	35.2969	51.20081921310741
42.584	35.2969	51.20081921310741
42.684	35.2422	51.20081921310741
42.785	35.3281	51.20081921310741
42.887	35.3906	51.20081921310741
42.988	35.4375	51.20081921310741
43.088	35.4609	51.20081921310741
43.19	35.5078	51.20081921310741
43.291	35.5078	51.20081921310741
43.393	35.4688	51.20081921310741
43.494	35.4219	51.20081921310741
