DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
35.2	96.9531	51.20081921310741
35.301	96.7891	51.20081921310741
35.402	96.8438	51.20081921310741
35.504	96.8594	51.20081921310741
35.604	96.8594	51.20081921310741
35.705	96.8438	51.20081921310741
35.807	96.8438	51.20081921310741
35.908	96.8672	51.20081921310741
36.01	96.8672	51.20081921310741
36.11	96.7188	51.20081921310741
36.211	96.7656	51.20081921310741
36.313	96.8203	51.20081921310741
36.414	96.6563	51.20081921310741
36.515	96.7266	51.20081921310741
36.616	96.7422	51.20081921310741
36.717	96.7266	51.20081921310741
36.818	96.75	51.20081921310741
36.92	96.7031	51.20081921310741
37.021	96.6172	51.20081921310741
37.122	96.6563	51.20081921310741
37.223	96.6641	51.20081921310741
37.324	96.6406	51.20081921310741
37.426	96.6094	51.20081921310741
37.526	96.5156	51.20081921310741
37.627	96.5156	51.20081921310741
37.729	96.5156	51.20081921310741
37.83	96.5469	51.20081921310741
37.932	96.5703	51.20081921310741
38.032	96.5703	51.20081921310741
38.133	96.5625	51.20081921310741
38.235	96.5391	51.20081921310741
38.336	96.4219	51.20081921310741
38.437	96.4531	51.20081921310741
38.538	96.4766	51.20081921310741
38.639	96.4922	51.20081921310741
38.741	96.4922	51.20081921310741
38.842	96.3828	51.20081921310741
38.943	96.4297	51.20081921310741
39.044	96.4922	51.20081921310741
39.145	96.4688	51.20081921310741
39.246	96.3828	51.20081921310741
39.348	96.375	51.20081921310741
39.449	96.3125	51.20081921310741
39.55	96.4219	51.20081921310741
39.651	96.4063	51.20081921310741
39.752	96.375	51.20081921310741
39.854	96.3828	51.20081921310741
39.955	96.3359	51.20081921310741
40.055	96.3047	51.20081921310741
40.157	96.3047	51.20081921310741
40.258	96.3047	51.20081921310741
40.359	96.3047	51.20081921310741
40.461	96.25	51.20081921310741
40.561	96.3281	51.20081921310741
40.663	96.1953	51.20081921310741
40.764	96.1797	51.20081921310741
40.865	96.2734	51.20081921310741
40.967	96.2656	51.20081921310741
41.067	96.2266	51.20081921310741
41.168	96.1719	51.20081921310741
41.27	96.1719	51.20081921310741
41.371	96.2031	51.20081921310741
41.472	96.2031	51.20081921310741
41.573	96.1328	51.20081921310741
41.674	96.1328	51.20081921310741
41.776	96.1328	51.20081921310741
41.877	96.0859	51.20081921310741
41.977	96.0547	51.20081921310741
42.079	96.1563	51.20081921310741
42.18	96.1328	51.20081921310741
42.282	96.125	51.20081921310741
42.383	96.1016	51.20081921310741
42.483	96.0859	51.20081921310741
42.585	96.0781	51.20081921310741
42.686	96.0859	51.20081921310741
42.787	96.0313	51.20081921310741
42.889	96.0391	51.20081921310741
42.989	96.0391	51.20081921310741
43.09	96.0	51.20081921310741
43.192	96.0156	51.20081921310741
43.293	96.0	51.20081921310741
43.395	95.9688	51.20081921310741
43.495	95.9297	51.20081921310741
43.596	95.8984	51.20081921310741
43.698	95.8594	51.20081921310741
43.799	95.8594	51.20081921310741
43.9	95.9297	51.20081921310741
44.001	95.9063	51.20081921310741
44.102	95.8359	51.20081921310741
44.204	95.8594	51.20081921310741
44.305	95.8516	51.20081921310741
44.405	95.8984	51.20081921310741
44.507	95.8047	51.20081921310741
44.608	95.8359	51.20081921310741
44.709	95.8516	51.20081921310741
44.811	95.8047	51.20081921310741
44.911	95.7891	51.20081921310741
45.013	95.7656	51.20081921310741
45.114	95.8047	51.20081921310741
45.215	95.7344	51.20081921310741
45.317	95.7344	51.20081921310741
45.417	95.8281	51.20081921310741
45.518	95.8047	51.20081921310741
45.62	95.7109	51.20081921310741
45.721	95.7109	51.20081921310741
