DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time'\nylabels = ( 'Temperature', 'Power' )\n"
self.number_history	0
self.text_log_note	'Note'

Time	Temperature	Power
1865.129	97.1641	25.600409606553704
1865.23	97.1641	25.600409606553704
1865.33	97.0938	25.600409606553704
1865.432	97.1406	25.600409606553704
1865.533	97.1641	25.600409606553704
1865.634	97.1563	25.600409606553704
1865.736	97.1875	25.600409606553704
1865.837	97.1406	25.600409606553704
1865.938	97.1563	25.600409606553704
1866.04	97.1797	25.600409606553704
1866.141	97.1172	25.600409606553704
1866.242	97.1172	25.600409606553704
1866.343	97.1172	25.600409606553704
1866.444	97.0781	25.600409606553704
1866.546	97.1172	25.600409606553704
1866.647	97.1172	25.600409606553704
1866.748	97.1172	25.600409606553704
1866.85	97.1172	25.600409606553704
1866.951	97.0938	25.600409606553704
1867.052	97.1172	25.600409606553704
1867.153	97.1875	25.600409606553704
1867.254	97.2344	25.600409606553704
1867.356	97.125	25.600409606553704
1867.457	97.0938	25.600409606553704
1867.558	97.1172	25.600409606553704
1867.66	97.125	25.600409606553704
1867.761	97.0781	25.600409606553704
1867.863	97.0313	25.600409606553704
1867.963	97.1641	25.600409606553704
1868.064	97.0938	25.600409606553704
1868.166	97.1016	25.600409606553704
1868.267	97.1406	25.600409606553704
1868.368	97.0469	25.600409606553704
1868.47	97.1563	25.600409606553704
1868.571	97.1641	25.600409606553704
1868.673	97.1641	25.600409606553704
1868.773	97.1406	25.600409606553704
1868.874	97.1563	25.600409606553704
1868.976	97.1641	25.600409606553704
1869.077	97.1406	25.600409606553704
1869.178	97.0781	25.600409606553704
1869.28	97.0938	25.600409606553704
1869.381	97.0703	25.600409606553704
1869.483	97.0703	25.600409606553704
1869.583	97.0938	25.600409606553704
1869.684	97.1641	25.600409606553704
1869.786	97.0938	25.600409606553704
1869.887	97.2031	25.600409606553704
1869.988	97.0703	25.600409606553704
1870.09	97.1875	25.600409606553704
1870.191	97.1797	25.600409606553704
1870.293	97.0547	25.600409606553704
1870.394	97.1172	25.600409606553704
1870.494	97.1563	25.600409606553704
1870.596	97.1172	25.600409606553704
1870.697	97.0781	25.600409606553704
1870.798	97.0938	25.600409606553704
1870.9	97.1016	25.600409606553704
1871.001	97.1016	25.600409606553704
1871.103	97.125	25.600409606553704
1871.204	97.1641	25.600409606553704
1871.304	97.0938	25.600409606553704
1871.406	97.1406	25.600409606553704
1871.507	97.1797	25.600409606553704
1871.608	97.1563	25.600409606553704
1871.71	97.1563	25.600409606553704
1871.811	97.1563	25.600409606553704
1871.913	97.0938	25.600409606553704
1872.014	97.1406	25.600409606553704
1872.115	97.1406	25.600409606553704
1872.216	97.1406	25.600409606553704
1872.317	97.1406	25.600409606553704
1872.418	97.1563	25.600409606553704
1872.52	97.125	25.600409606553704
1872.621	97.1641	25.600409606553704
1872.722	97.1797	25.600409606553704
1872.824	97.1641	25.600409606553704
1872.925	97.1797	25.600409606553704
1873.026	97.125	25.600409606553704
1873.127	97.1172	25.600409606553704
1873.228	97.0938	25.600409606553704
1873.33	97.1563	25.600409606553704
1873.431	97.2031	25.600409606553704
1873.532	97.1875	25.600409606553704
1873.634	97.0938	25.600409606553704
1873.735	97.1797	25.600409606553704
1873.837	97.1875	25.600409606553704
1873.937	97.1641	25.600409606553704
1874.038	97.1172	25.600409606553704
1874.14	97.1406	25.600409606553704
